관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 노원구청,서울특별시 노원구 석계로13길25 장은아파트주변,서울특별시 노원구 월계1동 429-5 장은아파트 주변,생활방범,1,130,,30,12.Jan,02-2116-4919,37.620141,127.061339,2016.6.15
서울특별시 노원구청,서울특별시 노원구 광운로2나길23 삼창아파트입구,서울특별시 노원구 월계1동 447-2 삼창아파트 입구,생활방범,1,41,,30,6.Jan,02-2116-4919,37.617394,127.060496,2016.6.15
서울특별시 노원구청,서울특별시 노원구 석계로3길3 세븐일레븐앞,서울특별시 노원구 월계1동 59-3 세븐일레븐 앞,생활방범,1,130,,30,12.Jan,02-2116-4919,37.615516,127.064325,2016.6.15
서울특별시 노원구청,서울특별시 노원구 석계로39 카센터앞,서울특별시 노원구 월계1동 76-2 주택가 입구 (카센터앞),생활방범,1,41,,30,7.Jan,02-2116-4919,37.618263,127.063649,2016.6.15
서울특별시 노원구청,서울특별시 노원구 초안산로2길 106-18 월계남부역,서울특별시 노원구 월계2동 272-78 월계남부역 주변,생활방범,1,41,,30,6.Jan,02-2116-4919,37.632705,127.058513,2016.6.15
서울특별시 노원구청,서울특별시 노원구 광운로17길 45 기원사입구,서울특별시 노원구 월계1동 392-76 기원사 입구,생활방범,1,130,,30,6.Jan,02-2116-4919,37.622191,127.057034,2016.6.15
서울특별시 노원구청,서울특별시 노원구 월계로44길51 교육촌입구,서울특별시 노원구 월계1동 534-170 교육촌 입구,생활방범,1,130,,30,12.Jan,02-2116-4919,37.622955,127.052447,2016.6.15
서울특별시 노원구청,서울특별시 노원구 월계로53길 17 월계지하차도인근,서울특별시 노원구 월계2동 276-22 월계지하차도 위,생활방범,1,41,,30,6.Jan,02-2116-4919,37.630881,127.058612,2016.6.15
서울특별시 노원구청,서울특별시 노원구 초안산로2길 60 인덕공고담장,서울특별시 노원구 월계2동 633-1 인덕공고 담장,생활방범,1,130,,30,12.Jan,02-2116-4919,37.631321,127.056657,2016.6.15
서울특별시 노원구청,서울특별시 노원구 월계로42길15 장석교회주변,서울특별시 노원구 월계1동 875-1 장석교회 앞 우이천변 도로,생활방범,1,41,,30,5.Jan,02-2116-4919,37.623949,127.050917,2016.6.15
서울특별시 노원구청,서울특별시 노원구 석계로95 광운대역앞,서울특별시 노원구 월계1동 411-53 광운대역앞,생활방범,1,130,,30,7.Jan,02-2116-4919,37.622912,127.061162,2016.6.15
서울특별시 노원구청,서울특별시 노원구 동일로190길 46 광명철물앞,서울특별시 노원구 공릉1동 503-1 광명철물 앞,생활방범,1,130,,30,6.Jan,02-2116-4919,37.62596,127.075699,2016.6.15
서울특별시 노원구청,서울특별시 노원구 공릉로 111-1 개미공원,서울특별시 노원구 공릉1동 633-9 개미공원 입구,생활방범,1,41,,30,6.Jan,02-2116-4919,37.620294,127.077744,2016.6.15
