고유번호,지형지물부호,고유번호,한강지구구분,주차장명,주차장위치,PPOSIT,비고,관리기관,관리자명,전화번호,위도,경도
31,AE230,25,GIGU009,주차장,세모앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5446425,126.8925698
32,AE230,28,GIGU009,주차장,장애인전용,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5426115,126.8955063
20,AE230,12,GIGU011,주차장,성산대교밑,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.555441,126.8956355
25,AE230,69,GIGU001,주차장,신천나들목앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.518197,127.0770192
30,AE230,1,GIGU012,주차장,진입부,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5852402,126.8192655
33,AE230,86,GIGU005,주차장,수상스포츠,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5065667,126.9852518
35,AE230,48,GIGU003,주차장,안내센터앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5288814,127.0737781
36,AE230,94,GIGU005,주차장,반포대교동,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5135166,127.0032881
37,AE230,93,GIGU005,주차장,반포대교서,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5095774,126.9964672
38,AE230,72,GIGU001,주차장,자연학습장앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5176584,127.0878184
40,AE230,13,GIGU002,주차장,암사나들목,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5546515,127.1235586
41,AE230,64,GIGU006,주차장,청소년연맹앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5212714,126.9593661
42,AE230,50,GIGU004,주차장,리버시티 앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5288545,127.0201863
45,AE230,41,GIGU005,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5056625,126.9844383
44,AE230,39,GIGU007,주차장,서강대교남단,PST002,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.5321356,126.9237341
57,AE230,34,GIGU002,주차장,방생도량장앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5378178,127.1122664
58,AE230,70,GIGU001,주차장,신천나들목앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5179038,127.0784112
63,AE230,20,GIGU011,주차장,진입부,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5500195,126.9022655
64,AE230,68,GIGU004,주차장,수영장옆,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5185124,127.008912
49,AE230,60,GIGU007,주차장,파천교밑,PST002,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5265493,126.9126764
52,AE230,90,GIGU010,주차장,주차장,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5616327,126.8869566
65,AE230,73,GIGU006,주차장,안내센터앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5175851,126.9704332
46,AE230,35,GIGU009,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5373722,126.9039944
47,AE230,27,GIGU008,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5426767,126.9000273
48,AE230,67,GIGU004,주차장,자연학습장앞,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5201313,127.0112605
34,AE230,87,GIGU004,주차장,전망카페,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5250985,127.0157813
